episode duration in seconds,number of edit-run cycles,Work
1184,7,Debugging
1035,7,Debugging
143,3,Debugging
630,9,Debugging
368,1,Debugging
828,8,Debugging
742,7,Debugging
415,3,Debugging
400,3,Debugging
254,5,Debugging
248,1,Debugging
122,3,Debugging
109,1,Debugging
86,2,Debugging
59,2,Debugging
48,1,Debugging
42,2,Debugging
6999,48,Debugging
1098,8,Debugging
3603,24,Debugging
2223,25,Debugging
1269,19,Debugging
30,1,Debugging
5647,22,Debugging
930,15,Debugging
430,11,Debugging
223,4,Debugging
199,1,Debugging
180,14,Debugging
121,4,Debugging
118,4,Debugging
107,2,Debugging
84,2,Debugging
80,2,Debugging
72,2,Debugging
41,3,Debugging
30,1,Debugging
1309,10,Debugging
593,6,Debugging
523,8,Debugging
223,1,Debugging
2911,22,Debugging
1116,8,Debugging
863,15,Debugging
152,0,Debugging
41,1,Debugging
36,1,Debugging
736,9,Debugging
520,10,Debugging
355,2,Debugging
308,4,Debugging
118,1,Debugging
24,1,Debugging
4799,52,Debugging
494,11,Debugging
382,9,Debugging
327,17,Debugging
233,7,Debugging
175,6,Debugging
165,7,Debugging
57,1,Debugging
55,3,Debugging
30,1,Debugging
19,1,Debugging
17,1,Debugging
12,1,Debugging
8,1,Debugging
5,1,Debugging
268,1,Debugging
266,5,Debugging
74,4,Debugging
1170,5,Debugging
900,5,Debugging
816,15,Debugging
307,6,Debugging
64,1,Debugging
59,3,Debugging
25,1,Debugging
20,1,Debugging
18,1,Debugging
1685,16,Debugging
1094,3,Debugging
884,3,Debugging
247,4,Debugging
197,4,Debugging
175,4,Debugging
65,2,Debugging
16,1,Debugging
15,1,Debugging
869,1,Programming
853,5,Programming
109,0,Programming
2390,2,Programming
199,1,Programming
166,2,Programming
1341,8,Programming
790,6,Programming
586,3,Programming
430,0,Programming
370,1,Programming
347,2,Programming
179,3,Programming
178,1,Programming
146,0,Programming
73,1,Programming
48,1,Programming
43,0,Programming
29,0,Programming
26,0,Programming
453,1,Programming
334,0,Programming
240,0,Programming
1437,3,Programming
593,2,Programming
349,0,Programming
134,0,Programming
111,0,Programming
106,0,Programming
66,0,Programming
65,0,Programming
644,0,Programming
298,0,Programming
1180,9,Programming
694,5,Programming
416,2,Programming
275,6,Programming
238,8,Programming
235,1,Programming
135,0,Programming
123,2,Programming
123,4,Programming
91,2,Programming
83,1,Programming
33,1,Programming
17,0,Programming
2,0,Programming
988,3,Programming
620,2,Programming
387,2,Programming
82,0,Programming
39,0,Programming
1696,4,Programming
973,5,Programming
953,2,Programming
458,2,Programming
299,1,Programming
273,1,Programming
24,0,Programming
1383,2,Programming
504,2,Programming
374,4,Programming
196,1,Programming
171,1,Programming
150,0,Programming
101,1,Programming
216,1,Programming
22,0,Programming
579,3,Programming
315,2,Programming
245,1,Programming
245,6,Programming
201,2,Programming
168,2,Programming
101,2,Programming
84,2,Programming
73,1,Programming
58,2,Programming
24,1,Programming
23,1,Programming
8,0,Programming
7,0,Programming
1220,8,Programming
921,3,Programming
909,2,Programming
12,0,Programming
2521,15,Programming
1833,8,Programming
1430,6,Programming
499,7,Programming
204,2,Programming
201,1,Programming
97,1,Programming
16,1,Programming
11,0,Programming
2171,2,Programming
1992,1,Programming
1657,2,Programming
899,4,Programming
233,0,Programming
214,0,Programming
173,0,Programming
113,1,Programming
99,0,Programming